Termék kód,Kategória,Név,Leírás (HU),Ár (RON),Felhasználás,Új Név,nume produs,Új leírás ,Megjegyzés,Termék típus,,,
,Friss Sertéshús,Sertés Oldalas,,26,,"Csontos, de nincs rajta bőr",,,,,Szeletelve,Pacolva,
,Friss Sertéshús,Sertés Apróhús,"Vegyes húsdarabok, ideálisak pörköltnek, ragúnak vagy daráláshoz.",21,"Pörkölt, leves, ",,Carne porc lucru,,,Kilora,,,
,Friss Sertéshús,Sertés Őrölt Hús,"Frissen darált sertéshús, kolbászkészítéshez, fasírthoz és töltött ételekhez.",21,"Kolbász, Fasírt, Bolognai alap",,Carne tocată porc,,,Kilora,"Zsírosabb, normál, kevésébé zsíros",,
,Friss Sertéshús,Sertés Szalonnás Comb,"Szalonnával borított combdarab, szaftos és ízletes egészben sütve.",24.5,Pörkölt ,,Pulpă porc cu slănină,,,Kilora,,,
,Friss Sertéshús,Sertés Toka Szalonna,"A tokájából készített szalonna, jellegzetes márványos szerkezettel, főzve és sütve egyaránt.",20,Abált szalonna ,,Slănină gușă,,,Kilora,,,
,Friss Növendékhús,Növendék Velős Csont,"Csontvelőben gazdag csont, gazdag levesalapnak vagy pirítóson tálalva különlegesség.",22,Húsleves,,Oase bovine cu măduvă,,,Kilora,,,
,Füstölt Áruk,Füstölt Bélszín,"Hagyományos hideg füstöléssel készített bélszín, mélyen füstös ízzel, vékonyra szeletelve.",55,,,Mușchuleți porc afumat,,"0,3-0,5 kg",Darab Súllyal,Szeletelve,,
,Füstölt Áruk,Füstölt Bordacsont,"Füstölt bordacsont, bablevesbe és káposztás fogásokhoz nélkülözhetetlen alapanyag.",16,,,Coaste porc afumat,,,Kilora,,,
,Füstölt Áruk,Füstölt Csülök,"Csontján füstölt csülök, mélyen átitatott füstös ízzel, főzve vagy sütve omlós.",34,,,Ciolan porc afumat,,"1,5 kg egy darab",Darab Súllyal,Kissebb nagyobb,,
,Füstölt Áruk,Füstölt Csülök Csont Nélkül,"Kicsontozott füstölt csülök, kényelmes szeletelésre, hideg tálakhoz vagy melegítve.",44,,, Ciolan porc afumat fără os,,"1,2 kg egy atlag",Darab Súllyal,Kissebb nagyobb,,
,Füstölt Áruk,Füstölt Egész Sonka,"Egészben füstölt sonka, ünnepi alkalmak klasszikusa, hidegen és melegen egyaránt.",55,,,Șuncă de porc întreg afumat,,,Kilora,Szezonális,,
,Füstölt Áruk,Füstölt Fehér Karaj,"Enyhén füstölt fehér karaj, sovány és aromás, szendvicsbe vagy hideg tálra.",49,,,Cotlet porc afumat,,,Kilora,"Szeletelve: vekony, közpees, vastag",,
,Füstölt Áruk,Füstölt Has,"Füstölt hasrész, ízgazdag és zsíros, babos ételekhez és káposztás fogásokhoz ideális.",47,"Füstös termékek, fával füstölt",,Piept porc afumat,,,Kilora,,,
,Füstölt Áruk,Füstölt Kötözött Sonka,"Kötöléssel formált egyenletes füstölt sonka, könnyen szeletelhető, hideg tálakhoz tökéletes.",50,,,Jambon de sărbătoare,,1kg,Darab Súllyal,,,
,Füstölt Áruk,Füstölt Nyakas Karaj,"Márványos szerkezetű füstölt nyakas karaj, gazdag füstös ízzel, hidegen és melegen is kiváló.",49,,,Ceafă porc afumat,,,Kilora,Szeletelve,,
,Füstölt Áruk,Füstölt Oldalas,"Füstölt oldalas, sütőben vagy grillen omlósra süthető, barbecue kedvencek közé tartozik.",47,,,Costiță afumată,,,Kilora,,,
,Füstölt Áruk,Füstölt Szalonna,"Klasszikus házi jellegű füstölt szalonna, vékonyra szeletelve vagy kockázva mindenhez illik.",42,,,Slănină afumată,,,Kilora,,,
,Füstölt Áruk,Füstölt Szalonnás Sonka,"Szalonnával érlelt füstölt sonka, gazdag ízprofillal, hideg tálak és szendvicsek alapanyaga.",48,,,Șuncă de porc afumat cu slănină,"Szalonnás füstölt sonka gazdag ízprofillal, hideg tálak és szendvicsek alapanyaga.",,Kilora,,,
,Kolbász & Szalámi,Cérna Kolbász,"Vékony, spárgával kötött kolbász, fűszeres ízvilággal, sütve és főzve egyaránt kitűnő.",48,,,Cârnați Cabanos,,,Kilora,,,
,Kolbász & Szalámi,Deák háziKolbász,"Hagyományos erdélyi recept szerinti fokhagymás-paprikás kolbász, füstölt aromával.",45,,,Cârnați de casă Deák,,,Kilora,,,
,Kolbász & Szalámi,Miccs,"Friss fűszeres darált húsból formált rúd, grillezve vagy serpenyőben sütve a legjobb.",40,,,Mititei,,"Kb. 8 darab 0,5 és 16 kb 1kg",Kilora,,,
,Kolbász & Szalámi,Növendék Szalámi,"Finomszemcsés, enyhén fűszerezett szalámi, hideg tálak és szendvicsek kedvelt alapanyaga.",46,,Házi szalámi,Salam de casă,,,Kilora,"Szeletelve: vekony, közpees, vastag",,
,Kolbász & Szalámi,Sertés Szalámi,"Tradicionálisan érlelt sertésszalámi, karakteres ízzel, vékonyra szeletelve tálalható.",43,,,Salam de porc,,,Kilora,"Szeletelve: vekony, közpees, vastag",,
,Kolbász & Szalámi,Székely Kolbász,"Erősen fűszerezett, paprikás székely kolbász, a régió egyik jellegzetes kézműves terméke.",45,,,Cârnați de casă Secuieni,,,Kilora,,,
,Kolbász & Szalámi,Téli Szalámi,"Hosszan érlelt, intenzív ízű téli szalámi, hideg tálak és szendvicsek klasszikusa.",68,,,Salam de iarnă,,,Kilora,"Szeletelve: vekony, közpees, vastag",,
,Felvágott & Egyéb,Abált Szalonna,"Főtt szalonna, fokhagymával és fűszerekkel ízesítve, hidegen szeletelve tálalható.",35,,Csak egyed,Slănină fiartă,,,Kilora,,,
,Felvágott & Egyéb,Disznó Fősajt,"Hagyományos disznófősajt, kocsonyás állagú, fűszerekkel gazdagítva, hideg tálakra ideális.",35,,,Tobă de porc,,,Kilora,,,
,Felvágott & Egyéb,Göngyölt Hús,"Fűszerezett húsdarabok göngyölve és főzve, szeletelhető hideg fogás, szendvicsek alapanyaga.",47,,,Rulada de porc,,,Kilora,,,
,Felvágott & Egyéb,Pástétom,"Krémes, finomra dolgozott húspástétom, pirítósra kenve vagy hideg tálak kísérőjeként.",22,,,Pate porc de casă,,Darab,Darab Súllyal,,,
,Uj termékek,,,,,,,,,Kilora,,,
,,Csirke mell csont és bör nélkül ,,34,,,,,,Kilora,,,
,,Csirke egybe comb,,17,,,,,,Kilora,,,
,,Csirke szárny,,16,,,,,,Kilora,,,
,,Sertés Lapocka,,25,"Pörkölt, töltelékes, puhabb mint a comb",,"Spata porc, fara os si fara slanina",,,Kilora,,,
,,sajtos cerna kolbasz,,48,"Főzni és sütni, grillezni",,Carnati de cabanos cu cascaval,,,Kilora,,,
,,Tepertőnek való szalonna,,15,Tepertőnek,,Slanina lucru,,,Kilora,,,
,,Roppanós Virsli,,48,"Disznócombból készül, juhbélbe töltve",,"Crenvusti ""Roppanós""",,,Kilora,,,
