# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    2     11     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      9     52      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     16     56      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     54      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3      8     51      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     81     58      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     70     55      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      1 
    2     67     57      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     71     53      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    0     79     58      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     71     56      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     68     58      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     71     54      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     17     56      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     15     54      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     10     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      1 
    3      9     52      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     16     55      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     53      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     10     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      8     51      -      0      0      0      0      0      0    405    172      0      0  89166  89167      0      -      -      0      0      0 
    0     16     55      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     14     53      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      9     50      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     15     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     14     52      -      0      0      0      0      0      0    405    172      0      0  89164  89165      0      -      -      0      0      0 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     49      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     77     56      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     69     54      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     68     56      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    3     70     51      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     78     57      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     69     55      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      2 
    2     67     56      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      1 
    3     70     52      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     16     55      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     14     53      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      9     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      8     50      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     14     52      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      1 
    3      8     49      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     16     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     14     52      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     48      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     53      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     13     51      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      8     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     48      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     76     55      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      2 
    1     69     53      -      0      0      0      0      0      0  13365   2287      0      0  89164  89165      0      -      -      0      0      0 
    2     67     55      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     70     50      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     77     56      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     69     53      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     67     56      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    3     70     50      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     16     55      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     14     52      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     49      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      1 
    0     15     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     14     51      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     48      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     53      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     14     51      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      8     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3      7     47      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     53      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     13     50      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      8     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     47      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     79     55      -      0      0      0      0      0      0  13365   2325      0      0  89162  89163      0      -      -      0      0      0 
    1     69     52      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     67     55      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     70     49      -      0      0      0      0      0      0  13365   2295      0      0  89166  89167      0      -      -      0      0      1 
    0     76     56      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      2 
    1     69     53      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     66     55      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     69     50      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     15     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      1 
    1     13     51      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2      9     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3      8     48      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     54      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     13     51      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      8     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     48      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     53      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     13     50      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      8     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      7     47      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     15     53      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     13     50      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2      9     52      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3      6     46      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    209     60      -     98     38      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0   1186    826 
    1    195     57      -     99     32      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0   1471    890 
    2    198     59      -     98     40      0      0      0      0  13365   2212      0      0  89166  89167      0      -      -      0   1122    500 
    3    194     53      -     98     41      0      0      0      0  13365   2220      0      0  89166  89167      0      -      -      0    965    544 
    0    214     64      -     98     37      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0    799    530 
    1    197     60      -     98     44      0      0      0      0  13365   2250      0      0  89164  89165      0      -      -      0    908    543 
    2    201     63      -     98     43      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    751    503 
    3    196     57      -     98     42      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    838    538 
    0    218     68      -     98     37      0      0      0      0  13365   2227      0      0  89162  89163      0      -      -      0    854    515 
    1    201     64      -     98     43      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0    978    542 
    2    204     67      -     99     29      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    797    526 
    3    201     61      -     99     28      0      0      0      0  13365   2227      0      0  89166  89167      0      -      -      0    871    987 
    0    195     70      -    100     17      0      0      0      0  13365   2190      0      0  89162  89163      0      -      -      0    809    511 
    1    183     66      -    100     19      0      0      0      0  13365   2242      0      0  89164  89165      0      -      -      0    891    516 
    2    187     68      -    100     19      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    732    489 
    3    184     62      -    100     18      0      0      0      0  13365   2265      0      0  89166  89167      0      -      -      0    752    511 
    0    224     73      -     98     36      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    820    497 
    1    202     69      -     98     42      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0    929    508 
    2    206     72      -     98     40      0      0      0      0  13365   2280      0      0  89166  89167      0      -      -      0    786    483 
    3    199     66      -     98     40      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    875    515 
    0    153     72      -      0      0      0      0      0      0  13365   2317      0      0  89162  89163      0      -      -      0      0      0 
    1    137     69      -      0      0      0      0      0      0  13365   2302      0      0  89164  89165      0      -      -      0      0      2 
    2    138     71      -      0      0      0      0      0      0  13365   2325      0      0  89166  89167      0      -      -      0      0      1 
    3    132     65      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    0    223     76      -     98     35      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    740    505 
    1    204     73      -     98     42      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0    870    522 
    2    207     75      -     98     40      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    791    491 
    3    201     69      -     98     40      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0    788    487 
    0    151     75      -      0      0      0      0      0      0  13365   2332      0      0  89162  89163      0      -      -      0      0      0 
    1    133     72      -      0      0      0      0      0      0  13365   2287      0      0  89164  89165      0      -      -      0      0      1 
    2    132     74      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    3    128     68      -      0      0      0      0      0      0  13365   2317      0      0  89166  89167      0      -      -      0      0      0 
    0    131     74      -     89     20      0      0      0      0  13365   2287      0      0  89162  89163      0      -      -      0    812    498 
    1    116     70      -     99     27      0      0      0      0  13365   2280      0      0  89164  89165      0      -      -      0    910    526 
    2    158     75      -     98     40      0      0      0      0  13365   2295      0      0  89166  89167      0      -      -      0    744    504 
    3    119     70      -     98     39      0      0      0      0  13365   2242      0      0  89166  89167      0      -      -      0    890    500 
    0     97     72      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     85     69      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      2 
    2     85     71      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     82     66      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     94     70      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     83     67      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     84     70      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      1 
    3     80     65      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     21     66      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     18     63      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     16     66      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     13     61      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0    220     69      -     98     37      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0      0      0 
    1    202     66      -     98     44      0      0      0      0  13365   2265      0      0  89164  89165      0      -      -      0      0      0 
    2    202     67      -     49     22      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    3    183     62      -     19      8      0      0      0      0  13365   2287      0      0  89166  89167      0      -      -      0      0      0 
    0     88     65      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     77     63      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     77     65      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     76     61      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      1 
    0     19     62      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     18     60      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     13     62      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     13     58      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     17     60      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      2 
    1     17     59      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     12     60      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     11     56      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     18     59      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     57      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     13     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     11     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     18     58      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     56      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     12     58      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0    210     62      -     98     37      0      0      0      0  13365   2280      0      0  89162  89163      0      -      -      0    308      2 
    1     91     59      -     98     45      0      0      0      0  13365   2257      0      0  89164  89165      0      -      -      0      0      1 
    2    173     61      -     98     44      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3    193     57      -     98     42      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      1 
    0     81     59      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     71     57      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     68     59      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      2 
    3     72     55      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     20     58      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     56      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      1 
    2     13     58      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     17     57      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     55      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     57      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3      9     52      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      3 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    189     64      -    100     20      0      0      0      0  13365   2167      3      0  89162  89163      0      -      -      0  10935  13110 
    1    179     61      -    100     21      0      0      0      0  13365   2152      4      0  89164  89165      0      -      -      0  19917  14949 
    2    176     64      -    100     21      0      0      0      0  13365   2160      4      0  89166  89167      0      -      -      0   6057  19675 
    3    174     59      -    100     20      0      0      0      0  13365   2167      3      0  89166  89167      0      -      -      0  12692  20474 
    0    192     67      -    100     22      0      0      0      0  13365   2167      8      0  89162  89163      0      -      -      0  14704  23092 
    1    182     65      -    100     21      0      0      0      0  13365   2152      7      0  89164  89165      0      -      -      0   8993  15730 
    2    182     68      -    100     19      0      0      0      0  13365   2152      6      0  89166  89167      0      -      -      0  18937   1758 
    3    178     62      -    100     20      0      0      0      0  13365   2152      6      0  89166  89167      0      -      -      0  17245  19115 
    0    273     73      -     99     51      0      0      0      0  13365   2227      2      0  89162  89163      0      -      -      0   3574   3105 
    1    254     71      -     99     55      0      0      0      0  13365   2227      1      0  89164  89165      0      -      -      0   4173   3316 
    2    259     72      -     99     56      0      0      0      0  13365   2227      1      0  89166  89167      0      -      -      0   3447   3193 
    3    257     68      -     99     56      0      0      0      0  13365   2227      1      0  89166  89167      0      -      -      0   4154   3297 
    0    202     75      -    100     19      0      0      0      0  13365   2152      0      0  89162  89163      0      -      -      0   9994  13170 
    1    186     74      -    100     19      0      0      0      0  13365   2137      0      0  89164  89165      0      -      -      0  10353  12712 
    2    186     74      -    100     20      0      0      0      0  13365   2160      0      0  89166  89167      0      -      -      0  10741  13161 
    3    184     70      -    100     20      0      0      0      0  13365   2160      0      0  89166  89167      0      -      -      0  10003  13359 
    0    282     79      -     99     51      0      0      0      0  13365   2227      0      0  89162  89163      0      -      -      0   3499   3175 
    1    261     77      -     99     55      0      0      0      0  13365   2227      0      0  89164  89165      0      -      -      0   4383   3370 
    2    268     78      -     99     56      0      0      0      0  13365   2227      0      0  89166  89167      0      -      -      0   3542   3155 
    3    265     74      -     99     56      0      0      0      0  13365   2227      0      0  89166  89167      0      -      -      0   3784   3255 
    0    287     82      -     99     50      0      0      0      0  13365   2227      0      0  89162  89163      0      -      -      0   3456   3129 
    1    264     79      -     99     55      0      0      0      0  13365   2227      0      0  89164  89165      0      -      -      0   3855   3245 
    2    272     81      -     99     56      0      0      0      0  13365   2227      0      0  89166  89167      0      -      -      0   3477   3209 
    3    269     77      -     99     56      0      0      0      0  13365   2227      0      0  89166  89167      0      -      -      0   3651   3304 
    0    276     83      -     99     44      0      0      0      0  13365   2227      0      0  89162  89163      0      -      -      0   3003   2064 
    1    257     81      -     99     51      0      0      0      0  13365   2220      0      0  89164  89165      0      -      -      0   3392   2202 
    2    256     82      -     99     51      0      0      0      0  13365   2242      0      0  89166  89167      0      -      -      0   2480   2021 
    3    250     78      -     99     49      0      0      0      0  13365   2242      0      0  89166  89167      0      -      -      0   3073   2010 
    0    222     86      -    100     15      0      0      0      0  13365   2122      2      0  89162  89163      0      -      -      0   9994  16381 
    1    201     81      -    100     17      0      0      0      0  13365   2122      1      0  89164  89165      0      -      -      0  14175    252 
    2    201     82      -    100     23      0      0      0      0  13365   2107      1      0  89166  89167      0      -      -      0  14521  22494 
    3    202     79      -    100     16      0      0      0      0  13365   2130      2      0  89166  89167      0      -      -      0  16352  16500 
    0    253     84      -     99     39      0      0      0      0  13365   2257      3      0  89162  89163      0      -      -      0   3165   1512 
    1    232     82      -     99     44      0      0      0      0  13365   2235      3      0  89164  89165      0      -      -      0   3773   1599 
    2    235     83      -     99     43      0      0      0      0  13365   2257      3      0  89166  89167      0      -      -      0   2909   1545 
    3    232     79      -     99     43      0      0      0      0  13365   2250      3      0  89166  89167      0      -      -      0   3644   1540 
    0    254     85      -     99     39      0      0      0      0  13365   2257      0      0  89162  89163      0      -      -      0   3463   1558 
    1    233     82      -     99     44      0      0      0      0  13365   2242      0      0  89164  89165      0      -      -      0   3238   1556 
    2    236     84      -     99     44      0      0      0      0  13365   2257      0      0  89166  89167      0      -      -      0   2826   1475 
    3    233     79      -     99     43      0      0      0      0  13365   2250      0      0  89166  89167      0      -      -      0   3793   1593 
    0    242     85      -     99     35      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0   1029    760 
